Marker;MedianMs;MeanMs;LowerQuartileMs;UpperQuartileMs;MaxMs;Count;CountPerFrame;PresentFrames;SelectedFrames
"PlayerLoop";484.365018;473.06279;461.63901;518.107176;621.339181;47;2.9375;16;16
"UpdateScene";480.132996;497.879769;457.005402;512.264709;615.242859;15;0.9375;15;16
"Update.ScriptRunBehaviourUpdate";466.347992;482.617281;443.833588;493.280518;599.434814;15;0.9375;15;16
"BehaviourUpdate";466.34668;482.616309;443.832977;493.279205;599.434326;15;0.9375;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayInputHost.Update()";465.088196;481.612435;443.473206;489.608093;599.033264;15;0.9375;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayInputHost.AdvanceTime()";465.087006;481.611438;443.47229;489.606995;599.032532;15;0.9375;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayInputHost.RunSingleTickUnlocked()";465.041504;481.540739;443.429005;489.407799;598.979595;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickRunner.RunNextTick()";291.571301;296.811945;274.645;306.285397;399.540588;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickRunner.RunTick()";291.5494;296.741739;274.622395;306.259197;399.513409;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPipeline.RunTick()";291.527702;296.688414;274.607201;306.241104;399.489697;113;7.0625;15;16
"Game.Feature.Gameplay.Vfx.ProductionRuntime.dll!Game.Feature.Gameplay.Vfx.Host::GameplayVfxProductionRuntime.RebuildBindingRuntime()";157.584595;157.584595;157.584595;157.584595;157.584595;2;0.125;1;16
"Game.Feature.Gameplay.Vfx.Authoring.dll!Game.Feature.Gameplay.Vfx.Authoring::GameplayVfxBindingComposition.Compose()";157.319794;157.319794;157.319794;157.319794;157.319794;2;0.125;1;16
"Game.Feature.Gameplay.Vfx.Authoring.dll!Game.Feature.Gameplay.Vfx.Authoring::VfxBindingDiagnostics.AppendBindingMessages()";151.399399;151.399399;151.399399;151.399399;151.399399;204;12.75;1;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayTickViewPresenter.Present()";132.7534;143.694553;125.241899;139.2858;280.816498;113;7.0625;15;16
"Game.Feature.Gameplay.Vfx.Authoring.dll!Game.Feature.Gameplay.Vfx.Authoring::VfxPrefabValidationDiagnostics.ValidatePrefab()";132.6801;132.6801;132.6801;132.6801;132.6801;204;12.75;1;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayTickPresentationCoordinator.Present()";132.568802;143.484253;125.074499;139.105;280.203094;113;7.0625;15;16
"Game.Feature.Gameplay.Vfx.Authoring.dll!Game.Feature.Gameplay.Vfx.Authoring::VfxPrefabValidationDiagnostics.AppendPrefabMessages()";131.0167;131.0167;131.0167;131.0167;131.0167;204;12.75;1;16
"Game.Feature.Gameplay.Vfx.Authoring.dll!Game.Feature.Gameplay.Vfx.Authoring::VfxPrefabValidationDiagnostics.AppendComponentMessages()";127.648799;127.648799;127.648799;127.648799;127.648799;3264;204;1;16
"Game.Feature.Gameplay.Vfx.Authoring.dll!Game.Feature.Gameplay.Vfx.Authoring::VfxCueMapAsset.BuildRuntimeMap()";106.537102;106.537102;106.537102;106.537102;106.537102;2;0.125;1;16
"Game.Feature.Gameplay.Vfx.Authoring.dll!Game.Feature.Gameplay.Vfx.Authoring::VfxPrefabValidationDiagnostics.GetHierarchyPath()";105.010899;105.010899;105.010899;105.010899;105.010899;3264;204;1;16
"GC.Alloc";101.898701;99.393713;97.1428;107.709601;128.374499;681501;42593.8125;16;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPipeline.RunPlanPhase()";101.824401;106.068607;98.0927;107.665899;144.5352;113;7.0625;15;16
